Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smax,Smin,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,Smin,Smax,
1,17.00,20.20,,,,,,,3.10,8.50,0.40,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.10,15.00,,,,,0.00,5.00,0.00,1.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,3.20,12.40,,,,,,,,,,,,,,,,,,,
2,17.10,21.40,,,,,,,2.50,9.00,0.35,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,14.80,,,,,0.50,4.80,0.00,0.70,,,0.00,0.00,0.00,0.00,,,0.00,0.00,4.70,10.60,,,,,,,,,,,,,,,,,,,
3,17.20,21.00,,,,,,,1.80,8.00,0.12,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,14.50,,,,,0.50,4.80,0.00,0.50,,,0.00,0.00,0.00,0.00,,,0.00,0.00,3.00,9.3,,,,,,,,,,,,,,,,,,,
4,16.50,20.80,,,,,,,1.90,8.40,0.10,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,14.80,,,,,0.10,4.70,0.00,0.40,,,0.00,0.00,0.00,0.00,,,0.00,0.00,2.00,9.00,,,,,,,,,,,,,,,,,,,
5,17.00,20.90,,,,,,,2.00,6.10,0.10,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,14.60,,,,,0.30,4.80,0.00,0.50,,,0.00,0.00,0.00,0.00,,,0.00,0.00,2.80,9.30,,,,,,,,,,,,,,,,,,,
6,17.10,20.90,,,,,,,1.80,6.00,0.12,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,14.20,,,,,0.80,6.80,0.00,2.40,,,0.00,1.70,0.00,0.50,,,0.00,0.00,2.30,11.30,,,,,,,,,,,,,,,,,,,
7,15.00,19.50,,,,,,,3.50,9.60,0.10,1.13,0.00,0.00,0.00,0.20,0.00,0.40,0.10,1.20,6.00,14.40,,,,,2.00,8.60,0.90,3.30,,,0.90,3.40,0.30,4.20,,,0.00,1.11,1.20,13.40,,,,,,,,,,,,,,,,,,,
8,15.10,19.50,,,,,,,4.10,10.20,0.23,5.27,0.00,0.00,0.00,0.70,0.00,1.00,0.00,1.20,6.60,15.90,,,,,2.60,9.00,1.70,4.20,,,2.00,3.90,0.10,4.00,,,0.00,1.03,2.40,14.90,,,,,0.00,0.23,0.00,0.00,,,,,,,,,,,
9,15.00,19.70,,,,,,,4.80,10.20,2.20,5.93,0.00,0.60,0.20,0.80,0.40,0.80,0.00,1.20,7.10,16.20,,,,,1.00,9.00,2.80,4.20,,,2.90,3.90,0.00,4.10,,,0.00,1.03,2.80,16.00,,,,,0.00,0.31,0.00,0.00,,,,,,,,,,,
10,15.60,21.40,,,,,,,5.00,10.80,1.20,6.05,0.10,0.70,0.40,0.70,0.10,0.80,0.00,0.50,7.20,16.80,,,,,0.80,9.10,1.80,4.50,,,1.20,3.80,0.00,3.50,,,0.00,0.87,4.50,16.20,,,,,0.00,0.25,0.00,0.00,,,,,,,,,,,
